测试样本数	面积比例	正常率	异常率
481	0.785398	0.794179	0.02079
482	0.785398	0.763485	0.0207469
483	0.785398	0.797101	0.0165631
484	0.785398	0.764463	0.0123967
485	0.785398	0.752577	0.0164948
486	0.785398	0.781893	0.0123457
487	0.785398	0.73922	0.0164271
488	0.785398	0.772541	0.0102459
489	0.785398	0.738241	0.0122699
490	0.785398	0.795918	0.00816327
491	0.785398	0.769857	0.00814664
492	0.785398	0.76626	0.0203252
493	0.785398	0.795132	0.010142
494	0.785398	0.771255	0.0121457
495	0.785398	0.785859	0.0121212
496	0.785398	0.804435	0.0100806
497	0.785398	0.794769	0.0140845
498	0.785398	0.751004	0.0220884
499	0.785398	0.751503	0.012024
500	0.785398	0.8	0.01
